# generated by scripts/generate_meta_columns_catalog.py with PYTHONHASHSEED=0
source	universe	gebrochen-rational-universum.csv	febff7430b3c1102384929537cfd5767c4bbcb4665eff514dc563e731824ce3f	47
combination	UniGal	stern	mul	2	2	9	9	2
combination	UniGal	stern	mul	3	3	2	10	3
combination	UniGal	stern	mul	4	12	7	7	6
combination	UniGal	stern	mul	5	7	3	3	7
combination	UniGal	stern	mul	6	5	2	8	5
combination	UniGal	stern	mul	7	12	7	7	2
combination	UniGal	stern	mul	8	5	4	8	5
combination	UniGal	stern	mul	9	3	5	10	3
combination	UniGal	stern	mul	10	5	3	6	5
combination	UniGal	stern	mul	11	7	2	6	7
combination	UniGal	stern	mul	12	4	3	3	2
combination	UniGal	stern	mul	13	6	5	5	3
combination	UniGal	stern	mul	14	9	7	7	3
combination	UniGal	stern	mul	15	7	2	4	7
combination	UniGal	stern	mul	16	5	3	3	5
combination	UniGal	stern	mul	17	7	8	8	7
combination	UniGal	stern	mul	18	7	2	2	7
combination	UniGal	stern	mul	19	2	3	9	2
combination	UniGal	stern	mul	20	6	7	7	6
combination	UniGal	stern	mul	21	10	7	7	10
combination	UniGal	stern	mul	22	2	3	3	2
combination	UniGal	stern	mul	23	5	2	6	5
combination	UniGal	stern	mul	24	8	5	5	4
combination	UniGal	stern	mul	25	3	8	8	3
combination	UniGal	stern	mul	26	3	7	7	3
combination	UniGal	stern	mul	27	17	6	6	17
combination	UniGal	stern	mul	28	7	3	6	7
combination	UniGal	stern	mul	29	6	5	5	6
combination	UniGal	stern	mul	30	7	2	10	7
combination	UniGal	stern	mul	31	6	7	7	2
combination	UniGal	stern	mul	32	7	2	8	7
combination	UniGal	stern	mul	33	3	4	4	3
combination	UniGal	stern	mul	34	5	2	2	5
combination	UniGal	stern	mul	35	4	3	3	4
combination	UniGal	stern	mul	36	10	9	9	2
combination	UniGal	stern	mul	37	7	4	8	7
combination	UniGal	stern	mul	38	8	3	3	8
combination	UniGal	stern	mul	39	8	3	3	4
combination	UniGal	stern	mul	40	3	2	2	3
combination	UniGal	stern	mul	41	8	5	5	8
combination	UniGal	stern	mul	42	6	5	10	3
combination	UniGal	stern	mul	43	8	7	7	8
combination	UniGal	stern	mul	44	6	7	7	3
combination	UniGal	stern	mul	45	4	3	9	4
combination	UniGal	stern	mul	46	6	5	5	2
combination	UniGal	stern	mul	47	8	3	9	4
combination	UniGal	stern	mul	48	3	2	8	3
combination	UniGal	stern	mul	49	8	5	5	2
combination	UniGal	stern	mul	50	2	7	7	2
combination	UniGal	stern	mul	51	5	8	8	5
combination	UniGal	stern	mul	52	10	7	7	5
combination	UniGal	stern	mul	53	4	5	5	4
combination	UniGal	stern	mul	54	4	3	9	2
combination	UniGal	stern	mul	55	6	17	17	6
combination	UniGal	stern	mul	56	5	2	4	5
combination	UniGal	stern	mul	57	5	7	7	5
combination	UniGal	stern	mul	58	5	4	4	5
combination	UniGal	stern	mul	59	8	3	9	2
combination	UniGal	stern	mul	60	7	10	10	7
combination	UniGal	stern	mul	61	8	3	3	2
combination	UniGal	stern	mul	62	10	7	7	2
combination	UniGal	stern	mul	63	4	7	7	4
combination	UniGal	stern	mul	64	7	4	4	7
combination	UniGal	stern	mul	65	8	7	7	4
combination	UniGal	stern	mul	66	7	6	6	7
combination	UniGal	stern	mul	67	12	7	7	3
combination	UniGal	stern	mul	68	9	10	10	3
combination	UniGal	stern	mul	69	7	5	10	7
combination	UniGal	stern	mul	70	3	5	5	3
combination	UniGal	stern	mul	71	3	2	4	3
combination	UniGal	stern	mul	72	5	6	6	5
combination	UniGal	stern	mul	73	12	7	7	4
combination	UniGal	stern	mul	74	4	7	7	2
combination	UniGal	stern	mul	75	8	7	7	2
combination	UniGal	stern	mul	76	2	5	5	2
combination	UniGal	stern	mul	77	7	5	5	7
combination	UniGal	gleichf	mul	0	5	6	2	5
combination	UniGal	gleichf	mul	1	2	9	9	2
combination	UniGal	gleichf	mul	2	7	3	3	7
combination	UniGal	gleichf	mul	3	5	6	3	10
combination	UniGal	gleichf	mul	4	3	8	2	3
combination	UniGal	gleichf	mul	5	2	7	7	8
combination	UniGal	gleichf	mul	6	7	8	2	7
combination	UniGal	gleichf	mul	7	2	5	5	4
combination	UniGal	gleichf	mul	8	2	9	3	8
combination	UniGal	gleichf	mul	9	2	9	3	4
combination	UniGal	gleichf	mul	10	5	3	3	5
combination	UniGal	gleichf	mul	11	7	8	8	7
combination	UniGal	gleichf	mul	12	7	2	2	7
combination	UniGal	gleichf	mul	13	6	7	7	6
combination	UniGal	gleichf	mul	14	10	7	7	10
combination	UniGal	gleichf	mul	15	2	3	3	2
combination	UniGal	gleichf	mul	16	9	10	2	9
combination	UniGal	gleichf	mul	17	3	8	8	3
combination	UniGal	gleichf	mul	18	3	7	7	3
combination	UniGal	gleichf	mul	19	5	8	4	5
combination	UniGal	gleichf	mul	20	17	6	6	17
combination	UniGal	gleichf	mul	21	6	5	5	6
combination	UniGal	gleichf	mul	22	5	3	3	10
combination	UniGal	gleichf	mul	23	7	4	2	7
combination	UniGal	gleichf	mul	24	3	4	4	3
combination	UniGal	gleichf	mul	25	5	2	2	5
combination	UniGal	gleichf	mul	26	3	4	2	9
combination	UniGal	gleichf	mul	27	2	9	9	4
combination	UniGal	gleichf	mul	28	5	4	2	5
combination	UniGal	gleichf	mul	29	5	18	3	5
combination	UniGal	gleichf	mul	30	4	3	3	8
combination	UniGal	gleichf	mul	31	4	3	3	4
combination	UniGal	gleichf	mul	32	8	3	3	8
combination	UniGal	gleichf	mul	33	3	2	2	3
combination	UniGal	gleichf	mul	34	8	5	5	8
combination	UniGal	gleichf	mul	35	4	7	7	8
combination	UniGal	gleichf	mul	36	2	7	7	4
combination	UniGal	gleichf	mul	37	2	3	3	10
combination	UniGal	gleichf	mul	38	5	6	3	5
combination	UniGal	gleichf	mul	39	8	7	7	8
combination	UniGal	gleichf	mul	40	2	9	3	2
combination	UniGal	gleichf	mul	41	3	8	4	3
combination	UniGal	gleichf	mul	42	2	7	7	10
combination	UniGal	gleichf	mul	43	3	8	2	9
combination	UniGal	gleichf	mul	44	2	7	7	6
combination	UniGal	gleichf	mul	45	3	4	4	9
combination	UniGal	gleichf	mul	46	7	8	4	7
combination	UniGal	gleichf	mul	47	10	9	3	10
combination	UniGal	gleichf	mul	48	7	6	3	7
combination	UniGal	gleichf	mul	49	2	7	7	2
combination	UniGal	gleichf	mul	50	5	8	8	5
combination	UniGal	gleichf	mul	51	7	12	3	7
combination	UniGal	gleichf	mul	52	7	9	3	7
combination	UniGal	gleichf	mul	53	7	10	2	7
combination	UniGal	gleichf	mul	54	4	5	5	4
combination	UniGal	gleichf	mul	55	6	17	17	6
combination	UniGal	gleichf	mul	56	2	5	5	6
combination	UniGal	gleichf	mul	57	2	9	3	10
combination	UniGal	gleichf	mul	58	5	7	7	5
combination	UniGal	gleichf	mul	59	5	4	4	5
combination	UniGal	gleichf	mul	60	7	10	10	7
combination	UniGal	gleichf	mul	61	5	7	7	10
combination	UniGal	gleichf	mul	62	4	7	7	4
combination	UniGal	gleichf	mul	63	7	4	4	7
combination	UniGal	gleichf	mul	64	2	5	5	8
combination	UniGal	gleichf	mul	65	3	8	4	9
combination	UniGal	gleichf	mul	66	5	18	6	5
combination	UniGal	gleichf	mul	67	7	6	6	7
combination	UniGal	gleichf	mul	68	4	5	5	8
combination	UniGal	gleichf	mul	69	5	8	2	5
combination	UniGal	gleichf	mul	70	3	5	5	3
combination	UniGal	gleichf	mul	71	3	4	2	3
combination	UniGal	gleichf	mul	72	3	2	2	9
combination	UniGal	gleichf	mul	73	2	3	3	8
combination	UniGal	gleichf	mul	74	2	3	3	4
combination	UniGal	gleichf	mul	75	7	6	2	7
combination	UniGal	gleichf	mul	76	7	12	6	7
combination	UniGal	gleichf	mul	77	7	10	5	7
combination	UniGal	gleichf	mul	78	5	18	2	5
combination	UniGal	gleichf	mul	79	7	12	4	7
combination	UniGal	gleichf	mul	80	5	6	6	5
combination	UniGal	gleichf	mul	81	7	12	2	7
combination	UniGal	gleichf	mul	82	5	18	3	10
combination	UniGal	gleichf	mul	83	3	5	5	6
combination	UniGal	gleichf	mul	84	2	5	5	2
combination	UniGal	gleichf	mul	85	3	7	7	6
combination	UniGal	gleichf	mul	86	7	5	5	7
combination	UniGal	gleichf	div	0	7	12	7	3
combination	UniGal	gleichf	div	1	7	9	7	3
combination	UniGal	gleichf	div	2	7	10	7	2
combination	UniGal	gleichf	div	3	5	18	5	2
combination	UniGal	gleichf	div	4	5	7	10	7
combination	UniGal	gleichf	div	5	2	9	4	3
combination	UniGal	gleichf	div	6	5	6	10	3
combination	UniGal	gleichf	div	7	3	4	9	4
combination	UniGal	gleichf	div	8	10	9	10	3
combination	UniGal	gleichf	div	9	2	5	8	5
combination	UniGal	gleichf	div	10	2	9	2	3
combination	UniGal	gleichf	div	11	3	8	3	4
combination	UniGal	gleichf	div	12	3	7	6	7
combination	UniGal	gleichf	div	13	7	12	7	4
combination	UniGal	gleichf	div	14	9	10	9	2
combination	UniGal	gleichf	div	15	4	5	8	5
combination	UniGal	gleichf	div	16	5	18	5	3
combination	UniGal	gleichf	div	17	5	6	5	2
combination	UniGal	gleichf	div	18	4	7	8	7
combination	UniGal	gleichf	div	19	5	8	5	4
combination	UniGal	gleichf	div	20	7	4	7	2
combination	UniGal	gleichf	div	21	2	7	6	7
combination	UniGal	gleichf	div	22	2	5	4	5
combination	UniGal	gleichf	div	23	2	7	4	7
combination	UniGal	gleichf	div	24	3	4	3	2
combination	UniGal	gleichf	div	25	2	9	10	3
combination	UniGal	gleichf	div	26	2	5	6	5
combination	UniGal	gleichf	div	27	7	12	7	6
combination	UniGal	gleichf	div	28	3	4	9	2
combination	UniGal	gleichf	div	29	7	6	7	2
combination	UniGal	gleichf	div	30	5	18	5	6
combination	UniGal	gleichf	div	31	3	5	6	5
combination	UniGal	gleichf	div	32	5	6	5	3
combination	UniGal	gleichf	div	33	5	3	10	3
combination	UniGal	gleichf	div	34	2	3	4	3
combination	UniGal	gleichf	div	35	2	9	8	3
combination	UniGal	gleichf	div	36	3	8	9	4
combination	UniGal	gleichf	div	37	7	8	7	4
combination	UniGal	gleichf	div	38	3	2	9	2
combination	UniGal	gleichf	div	39	7	12	7	2
combination	UniGal	gleichf	div	40	2	7	10	7
combination	UniGal	gleichf	div	41	2	9	4	9
combination	UniGal	gleichf	div	42	2	7	8	7
combination	UniGal	gleichf	div	43	7	10	7	5
combination	UniGal	gleichf	div	44	5	18	10	3
combination	UniGal	gleichf	div	45	2	3	10	3
combination	UniGal	gleichf	div	46	7	6	7	3
combination	UniGal	gleichf	div	47	3	8	9	2
combination	UniGal	gleichf	div	48	4	3	8	3
combination	UniGal	gleichf	div	49	3	8	3	2
combination	UniGal	gleichf	div	50	5	4	5	2
combination	UniGal	gleichf	div	51	7	8	7	2
combination	UniGal	gleichf	div	52	2	3	8	3
combination	UniGal	gleichf	div	53	5	8	5	2
combination	GalUni	stern	mul	0	4	5	5	2
combination	GalUni	stern	mul	1	3	4	8	3
combination	GalUni	stern	mul	2	7	3	3	7
combination	GalUni	stern	mul	3	5	2	8	5
combination	GalUni	stern	mul	4	5	4	8	5
combination	GalUni	stern	mul	5	5	3	6	5
combination	GalUni	stern	mul	6	7	3	9	7
combination	GalUni	stern	mul	7	7	2	6	7
combination	GalUni	stern	mul	8	4	3	3	2
combination	GalUni	stern	mul	9	6	5	5	3
combination	GalUni	stern	mul	10	7	2	4	7
combination	GalUni	stern	mul	11	5	3	3	5
combination	GalUni	stern	mul	12	7	8	8	7
combination	GalUni	stern	mul	13	7	2	2	7
combination	GalUni	stern	mul	14	6	7	7	6
combination	GalUni	stern	mul	15	10	7	7	10
combination	GalUni	stern	mul	16	2	3	3	2
combination	GalUni	stern	mul	17	5	2	6	5
combination	GalUni	stern	mul	18	8	5	5	4
combination	GalUni	stern	mul	19	7	2	12	7
combination	GalUni	stern	mul	20	3	8	8	3
combination	GalUni	stern	mul	21	3	7	7	3
combination	GalUni	stern	mul	22	9	4	8	3
combination	GalUni	stern	mul	23	17	6	6	17
combination	GalUni	stern	mul	24	7	2	10	7
combination	GalUni	stern	mul	25	7	3	6	7
combination	GalUni	stern	mul	26	6	5	5	6
combination	GalUni	stern	mul	27	6	7	7	2
combination	GalUni	stern	mul	28	7	2	8	7
combination	GalUni	stern	mul	29	10	3	9	10
combination	GalUni	stern	mul	30	3	4	4	3
combination	GalUni	stern	mul	31	5	2	2	5
combination	GalUni	stern	mul	32	9	2	2	3
combination	GalUni	stern	mul	33	4	3	3	4
combination	GalUni	stern	mul	34	7	3	12	7
combination	GalUni	stern	mul	35	7	4	8	7
combination	GalUni	stern	mul	36	8	3	3	8
combination	GalUni	stern	mul	37	8	3	3	4
combination	GalUni	stern	mul	38	3	2	2	3
combination	GalUni	stern	mul	39	8	5	5	8
combination	GalUni	stern	mul	40	8	7	7	8
combination	GalUni	stern	mul	41	6	7	7	3
combination	GalUni	stern	mul	42	9	2	8	3
combination	GalUni	stern	mul	43	9	2	10	9
combination	GalUni	stern	mul	44	6	5	5	2
combination	GalUni	stern	mul	45	9	4	4	3
combination	GalUni	stern	mul	46	3	2	8	3
combination	GalUni	stern	mul	47	8	5	5	2
combination	GalUni	stern	mul	48	2	7	7	2
combination	GalUni	stern	mul	49	5	8	8	5
combination	GalUni	stern	mul	50	10	7	7	5
combination	GalUni	stern	mul	51	4	5	5	4
combination	GalUni	stern	mul	52	6	17	17	6
combination	GalUni	stern	mul	53	5	2	4	5
